R,G,B
47,128,250
46,130,248
45,133,247
45,135,245
44,137,244
43,140,242
42,142,241
41,144,239
41,147,238
40,149,236
39,151,235
38,153,234
37,155,232
36,157,231
34,159,230
33,161,229
32,163,228
31,165,226
30,167,225
29,168,224
27,170,223
25,172,220
22,173,218
19,175,215
16,176,213
13,178,210
10,179,208
8,181,206
5,182,203
2,184,201
1,185,198
5,186,195
10,187,192
14,188,189
18,189,186
22,190,183
26,191,181
30,192,178
34,193,175
39,194,172
42,195,169
45,196,165
49,197,161
52,198,158
55,199,154
58,199,150
61,200,147
64,201,143
67,202,139
70,203,136
75,203,132
81,203,127
86,203,123
92,203,118
98,203,114
104,204,109
109,204,104
115,204,100
121,204,95
127,204,91
133,204,86
138,203,82
144,202,78
150,201,74
156,200,69
162,199,65
168,199,61
174,198,57
179,197,53
185,196,48
190,195,47
195,194,47
200,193,47
205,192,47
209,191,47
214,190,48
219,189,48
224,188,48
228,187,48
233,186,48
236,187,48
238,188,49
240,190,49
242,191,50
244,192,50
246,194,51
248,195,51
250,196,52
252,198,52
254,199,53
253,203,51
252,206,49
251,210,47
250,214,45
250,218,43
249,222,41
248,226,39
247,230,37
246,234,35
245,238,33
